Crypto,Date,Open,High,Low,Close
LTC,2023-05-31,92.04,92.68,87.98,89.64
LTC,2023-05-30,91.41,93.25,90.56,92.04
LTC,2023-05-29,90.31,92.28,90.24,91.4
LTC,2023-05-28,88.7,90.53,88.29,90.31
LTC,2023-05-27,87.81,88.75,86.95,88.69
LTC,2023-05-26,85.4,88.25,85.27,87.81
LTC,2023-05-25,85.72,86.23,83.1,85.41
LTC,2023-05-24,90.83,91.86,84.74,85.7
LTC,2023-05-23,90.95,93.02,90.46,90.83
LTC,2023-05-22,91.69,92.74,89.87,90.96
LTC,2023-05-21,91.99,93.35,91.29,91.8
LTC,2023-05-20,91.47,92.78,90.69,91.99
LTC,2023-05-19,90.56,93.26,90.26,91.44
LTC,2023-05-18,94.38,94.57,89.26,90.56
LTC,2023-05-17,89.5,94.99,89.25,94.38
LTC,2023-05-16,87.73,90.43,86.25,89.5
LTC,2023-05-15,82.65,88.5,82.38,87.7
LTC,2023-05-14,80.7,84.03,79.79,82.65
LTC,2023-05-13,79.6,81.03,79.6,80.68
LTC,2023-05-12,80.06,81.43,77.43,79.6
LTC,2023-05-11,81.88,81.96,78.64,80.06
LTC,2023-05-10,79.54,82.0,77.28,81.75
LTC,2023-05-09,77.0,79.92,76.83,79.54
LTC,2023-05-08,84.28,85.29,75.41,77.01
LTC,2023-05-07,83.82,84.49,83.11,84.28
LTC,2023-05-06,88.73,89.43,81.21,83.82
LTC,2023-05-05,88.06,89.7,86.32,88.73
LTC,2023-05-04,87.05,89.81,87.05,88.06
LTC,2023-05-03,88.12,88.62,85.54,87.05
LTC,2023-05-02,86.18,89.07,86.0,88.12
LTC,2023-05-01,88.53,88.95,85.21,86.18
LTC,2023-04-30,90.76,91.42,87.93,88.53
LTC,2023-04-29,89.63,91.61,89.38,90.76
LTC,2023-04-28,89.85,90.45,87.79,89.63
LTC,2023-04-27,88.12,90.7,86.97,89.8
LTC,2023-04-26,91.36,93.96,84.69,87.95
LTC,2023-04-25,88.15,91.71,87.3,91.36
